token_custom_plus	2.0.x:102;8.x-1.x:20
fullscreen	1.0.x:3
random_coupon_generator	1.0.x:1
term_reference_fancytree	3.0.x:249;8.x-1.x:9;8.x-2.x:124
add_to_calendar	1.0.x:94
restaurant_zymphonies_theme	2.0.x:22;3.0.x:10;8.x-1.x:45
supported_image_delta_formatter	1.0.x:2
ckeditor_autocomplete_link	1.0.x:11
user_referral	2.0.x:2;2.1.x:2;3.2.x:7;7.x-1.x:1
migrate_parse_textile	1.0.x:6
taxonomy_formatter	7.x-1.x:600;8.x-1.x:383
media_library_translate	1.0.x:229
rocket_chat	3.0.x:52;7.x-1.x:22;8.x-1.x:3;8.x-2.x:29
aweber_block	3.0.x:6;9.1.x:37
ckeditor5_embedded_msforms	1.0.x:481
libraries_provider	2.0.x:155;8.x-1.x:13
node_alias_link_display	1.0.x:129
migrate_process_extra	2.0.x:6
vfld	1.0.x:5;1.2.x:2;1.3.x:98
calendar_card_formatter	1.0.x:1
slick_lightbox	2.0.x:1536;7.x-3.x:14;8.x-1.x:1032
ui_patterns_field_group	2.0.x:219
tailwind_jit	1.0.x:8;1.1.x:4;1.2.x:60
views_rest_field_format	1.0.x:45
webform_password_protection_handler	1.0.x:20
gsislogin	2.0.x:4;7.x-1.x:7;8.x-1.x:4
menu_custom_access	2.0.x:3
menu_item_role_access	8.x-1.x:335;8.x-2.x:12506
twig_debugger	1.1.x:1536
commerce_authnet	7.x-1.x:453;8.x-1.x:1184
external_entities	3.0.x:707;8.x-1.x:8;8.x-2.x:188
block_attributes	2.0.x:545;7.x-1.x:2321;8.x-1.x:29
cron_fail_alert	1.1.x:27
extra_project_browser	1.0.x:4
calculate_working_days	2.0.x:2
gatsby	2.0.x:295;8.x-1.x:72
docusign_esign	1.0.x:6
mapsemble	2.0.x:1
video_embed_html5	2.0.x:1910;8.x-1.x:460
drupal8_parallax_theme	2.0.x:169;3.0.x:64;4.0.x:44;8.x-1.x:322
custom_help	1.0.x:8
cmp_sirdata	1.1.x:6
postal_mail	1.0.x:2
localgov_paragraphs	2.5.x:4;2.6.x:449
hti	2.0.x:41;8.x-1.x:46
ebt_columns	1.4.x:66
scheduled_transitions_sidebar	2.1.x:6
dynatrace	1.0.x:2
rendered_entity_list_formatter	1.0.x:1
drupical	1.0.x:3994
w3c_validator	2.0.x:43;2.1.x:281;6.x-1.x:8;7.x-1.x:10;8.x-1.x:249
domain_traversal	3.0.x:39;7.x-1.x:2;8.x-1.x:5;8.x-2.x:15
give	2.0.x:33;8.x-1.x:4
localgov_microsites_group	4.4.x:26;4.5.x:9
slots	1.1.x:4;1.2.x:3
recurly_roles	7.x-1.x:11
autotitle	8.x-1.x:633
mixitup_views	3.0.x:13;3.1.x:60;7.x-1.x:62;8.x-1.x:56;8.x-2.x:21
expose_status	4.1.x:5;5.0.x:26
dynamodb_client	1.0.x:8
simple_menu_icons	3.0.x:1563;3.1.x:1652;8.x-1.x:13;8.x-2.x:587
notify	2.0.x:127;5.x-1.x:9;6.x-1.x:61;7.x-1.x:603;8.x-1.x:3
saml_extras	2.0.x:31;8.x-1.x:8
webform_handler_defer	1.1.x:3
flexible_permissions	1.0.x:171;1.1.x:1399;2.0.x:12805
acquia_cms_toolbar_gin	1.0.x:175
konamicode	2.1.x:9;6.x-1.x:1;7.x-1.x:46;8.x-1.x:2
open_ai_metadata	1.0.x:3;2.0.x:6
emn	1.0.x:5
offline_ai	1.0.x:4
high_contrast	7.x-1.x:573;8.x-1.x:463
par	3.0.x:211
telegram_media_type	1.0.x:8
sm_transport_redis	1.0.x:5
splide	1.0.x:59;1.1.x:51;2.0.x:2577
localgov_topics	1.0.x:4;1.2.x:421
confi	3.0.x:18;3.1.x:27;3.2.x:96;4.0.x:12;4.1.x:186;8.x-1.x:8
config_notify	8.x-1.x:278
webform_remote_select	1.0.x:102
form_state_empty	1.0.x:14;1.1.x:50
admin_toolbar_toggle	8.x-1.x:4
data_pipelines_elasticsearch	1.0.x:1;2.0.x:3
group_hidden_role	2.0.x:2
buckaroo	8.x-1.x:1
nearby_places_search	7.x-1.x:1
amazon_sns	8.x-1.x:192
config_token	8.x-1.x:159
instafeed_block	1.0.x:158
mailgo	1.0.x:4
phpstorm_metadata	8.x-1.x:3
media_library_form_element	2.0.x:5449;2.1.x:31295;2.x:12;8.x-1.x:348
entity_browser_enhanced	2.0.x:4624;8.x-1.x:1101
vite	1.0.x:19;1.1.x:31;1.2.x:12;1.3.x:109;1.4.x:77;1.5.x:902
component_blocks	1.2.x:287;1.x:1
graphql_extra_cache	1.0.x:144
toast_image_editor	1.0.x:121
quickchat	1.0.x:9
stage_file_proxy	2.0.x:103;2.1.x:884;3.0.x:58;3.1.x:16922;7.x-1.x:367;8.x-1.x:639
feeds_http_auth_fetcher	1.0.x:25;2.0.x:661
dependent_fields	1.0.x:1317;6.x-1.x:6
heading_formatter	1.0.x:67
custom_purge	1.0.x:7
searxng	1.0.x:3
webform_epetition	2.0.x:1
sendgrid	1.0.x:172;1.1.x:755
webform_score	8.x-1.x:14;8.x-2.x:521
lionbridge_translation_provider	7.x-1.x:4;8.x-1.x:1;8.x-2.x:28;9.3.x:2;9.4.x:179
vercf	1.0.x:15;1.1.x:11
zurb_foundation_6_paragraphs	1.0.x:6;2.0.x:5
commerce_fincra	1.0.x:1
scn	2.0.x:444;8.x-1.x:50
entity_bundle_field	1.0.x:14
gamify	1.1.x:1
content_moderation_owner_permissions	1.0.x:90
role_log	2.0.x:79;8.x-1.x:1
menu_link_attributes	8.x-1.x:86561
views_organization_chart	1.0.x:209
smsapi	1.2.x:3;1.3.x:86
video_embed_field_ephoto	2.0.x:75
key_aws_s3	1.0.x:22
dropsolid_personalisation	2.0.x:2
linkit	6.0.x:7845;6.1.x:13048;6.x-1.x:99;7.0.x:106353;7.1.x:7;7.x:3;7.x-1.x:4;7.x-2.x:1093;7.x-3.x:9187;8.x-4.x:2842;8.x-5.x:2814
paragraphs_table	2.0.x:1951;7.x-1.x:99;8.x-1.x:564
node_view_redirect	8.x-1.x:107
generate_style_theme	4.0.x:24;5.0.x:9
fbl	7.x-1.x:11;8.x-1.x:3;8.x-2.x:22
domain_role	3.0.x:11
drupal_metrics	1.0.x:4
yg_profile	2.0.x:4
auto_username	2.0.x:251;6.x-1.x:2;7.x-1.x:265;8.x-1.x:362
lock_layout_builder	1.2.x:28
docx_to_html	1.0.x:17
page_attributes	2.0.x:9;8.x-1.x:3
repec	2.0.x:7;7.x-1.x:1
health_check_url	8.x-2.x:9;8.x-3.x:1803
media_expire	8.x-1.x:44;8.x-2.x:802
behat_ui	5.0.x:59
entity_ui	8.x-1.x:38
fireworksai	1.0.x:2;1.1.x:13
gdpr_alert	1.0.x:9
layout_builder_simplify	1.0.x:1;2.0.x:2
oidc	1.2.x:6;2.0.x:4;2.1.x:3;2.2.x:19;2.3.x:273
smileys_field	1.0.x:8
config_overview	2.1.x:7
page_manager_search	2.0.x:6;7.x-1.x:43
password_stats	2.1.x:5
swoosh	1.0.x:3
navigation_menu_role	1.0.x:1601
json_ld_schema_ui	1.0.x:84
ab_age_gate	1.0.x:1;2.0.x:17
entityqueue_buttons	1.1.x:5
group_clone	1.2.x:4;3.0.x:3
localgov_austria	1.0.x:2
ggroup	1.0.x:158;2.0.x:263;3.0.x:146
flexible_event_calendar	2.0.x:42;8.x-1.x:7
layout_builder_enhancements	3.0.x:13;8.x-1.x:6
webform_to_leads	8.x-5.x:8
gutenberg_group_media	1.0.x:2
nomarkup	1.0.x:3340
listjs	2.0.x:174;7.x-1.x:3;8.x-1.x:3
bef_select	1.0.x:62;2.0.x:133
ckeditor5_fe_color	1.0.x:74
js_sha	2.0.x:6
remote_stream_wrapper	2.0.x:580;2.1.x:5301;7.x-1.x:1361;8.x-1.x:205
basecore	1.0.x:686
bg_img_field	8.x-1.x:307;8.x-2.x:397
zodiac_style_plugin	1.0.x:292
canvas_bootstrap	1.0.x:89
acknowledgements	2.0.x:34;3.0.x:31;7.x-2.x:107;8.x-1.x:26
website_feedback	1.0.x:14;1.1.x:734
g_translate	1.0.x:197
gaya_popup	1.0.x:70
lb_section_navigation	8.x-1.x:21
simple_menu_tree	1.0.x:9
commerce_config_actions	1.0.x:2
commerce_niubiz	1.0.x:2
login_register_path	2.0.x:25;8.x-1.x:2
field_data	1.0.x:5
migrate_batch	1.0.x:4
modules_manager_enhanced	1.0.x:4
ssrc	1.0.x:3
ebt_slick_slider	1.3.x:1;1.4.x:229
webpack_react	3.0.x:30;8.x-1.x:3
anonymous_login	7.x-1.x:265;8.x-1.x:131;8.x-2.x:3877
ckeditor_bidi	3.1.x:756;4.0.x:616;5.0.x:44;5.1.x:249;5.2.x:537;8.x-2.x:136
menu_items_visibility	1.0.x:13;1.1.x:850
collapsible_fields	1.0.x:286
untranslated_404	1.0.x:9;2.0.x:239
panopto_media_remote	1.0.x:127
sharepoint_connector	1.0.x:43
varnish	2.0.x:23;2.1.x:16;6.x-1.x:57;7.x-1.x:1715;8.x-1.x:20
facebook_comments_block	7.x-1.x:12;7.x-2.x:49;8.x-1.x:2;8.x-2.x:89
views_sessions	8.x-1.x:1
dblog_persistent	2.0.x:10;2.1.x:320
fixteaserlinks	7.x-1.x:18;8.x-1.x:41
referenced_entity_replace	1.0.x:2
opigno_migration	3.0.x:3;3.1.x:15;8.x-1.x:6
fontawesome	3.0.x:20757;7.x-1.x:252;7.x-2.x:7184;7.x-3.x:3673;8.x-1.x:339;8.x-2.x:32548
dbug	2.0.x:617;2.1.x:137;2.2.x:1186;8.x-1.x:357
push_framework	2.1.x:5;2.2.x:25;2.3.x:199
urlicon	5.x-1.x:1;6.x-2.x:1;7.x-1.x:1
mask	2.0.x:215;2.1.x:839;8.x-1.x:40
font_iconpicker	1.0.x:11;1.1.x:256
guzzle_cache	3.0.x:151;8.x-1.x:7;8.x-2.x:4
xnttfiles	1.0.x:42
combined_image_style	1.0.x:35
node_health	1.0.x:9
form_change_warning	1.0.x:2
fallback_media	2.0.x:2;2.1.x:20;8.x-1.x:1
webdam	2.1.x:1;2.2.x:14
commerce_payumoney	3.0.x:13;8.x-1.x:18
back_to_top_with_pi	1.0.x:58
import_redirect_json	1.0.x:41
regions_override	1.0.x:15
front	10.0.x:900;10.x:1;5.x-1.x:11;6.x-1.x:230;6.x-2.x:16;7.x-2.x:3648;8.x-1.x:218;9.1.x:10
kraken	7.x-1.x:9;8.x-1.x:97
rollbar	2.0.x:3;2.1.x:446;7.x-1.x:3
nava	1.0.x:142
lms_membership_request	1.1.x:18
baidu_map	2.0.x:2;7.x-1.x:25;8.x-1.x:8
layout_builder_section_block_duplicate	1.0.x:130
link_title_formatter	2.0.x:120
get_tweets	2.0.x:5;3.0.x:69;8.x-1.x:10
commerce_tpay	7.x-1.x:16;8.x-1.x:1;8.x-2.x:5;8.x-3.x:22
trustarc	1.0.x:5;1.1.x:17
camera_capture	1.0.x:1
better_messages	2.0.x:1800;6.x-1.x:56;7.x-1.x:453;8.x-1.x:26
tmgmt_google	7.x-1.x:65;8.x-1.x:1456
firebase	3.0.x:755;7.x-1.x:85;8.x-1.x:3;8.x-2.x:35
amptheme	7.x-1.x:356;8.x-1.x:170;8.x-3.x:742
carryquery	8.x-1.x:50
feeds_xsltparser	2.0.x:1;7.x-1.x:5
acquia_cms_image	1.5.x:8;1.6.x:1792
ai_vdb_provider_milvus	1.0.x:18;1.1.x:664
ept_video	1.4.x:168
current_year	1.0.x:104;7.x-1.x:11
search_web_components	1.0.x:33
commerce_recurring_log	1.0.x:11
frontend_editing	1.1.x:23;1.2.x:23;1.3.x:1;1.4.x:1;1.5.x:3;1.6.x:5;1.7.x:38;1.8.x:349;1.9.x:644;2.0.x:256
commerce_agree_terms	2.0.x:649;7.x-1.x:492;8.x-1.x:93
datalayer_webform	1.0.x:554
localgov_base	1.10.x:19;1.9.x:9;2.1.x:4;2.2.x:1;2.3.x:102;2.4.x:48;2.5.x:269
labor_time_tracker	1.0.x:1
userprotect	5.x-1.x:3;6.x-1.x:29;7.x-1.x:3104;8.x-1.x:10620
jquery_countdown_timer	7.x-1.x:536;8.x-1.x:778
block_in_page_403	1.0.x:3;2.0.x:47
redsys_button	1.0.x:39
simple_nodeaccess	1.0.x:3
browsersync	3.0.x:384;7.x-1.x:84;8.x-1.x:43;8.x-2.x:40
ckeditor5_custom_paste	1.0.x:205
rules_http_client	7.x-1.x:267;8.x-1.x:59;8.x-2.x:3;8.x-3.x:47
recipe_tracker	1.0.x:465
views_expandable_table	1.0.x:104
nuxt_multi_cache	2.0.x:36
name	6.x-1.x:3;7.x-1.x:1304;8.x-1.x:5208
webform_mailchimp	6.x-1.x:8;7.x-1.x:45;7.x-2.x:207;7.x-4.x:224;8.x-5.x:3876
field_encrypt	3.0.x:64;3.1.x:477;3.2.x:974;4.0.x:81;4.1.x:888;7.x-1.x:362;8.x-2.x:68
image_style_generate	1.0.x:1;1.1.x:4;1.2.x:223
social_ldap	1.0.x:7
saml_sp	4.0.x:6;4.1.x:6;4.2.x:36;4.3.x:718;4.4.x:490;4.5.x:708;7.x-2.x:10;7.x-3.x:87;8.x-2.x:1;8.x-3.x:7
mail_debugger	7.x-3.x:158;8.x-1.x:253
ebt_countdown	1.4.x:86
commercetools_online_demo	2.1.x:2
search_tracker	1.0.x:1
rest_absolute_urls	2.0.x:162;8.x-1.x:46
ebt_video	1.4.x:87
diba_integration	1.0.x:2;1.2.x:3
metals_api	8.x-1.x:1
simple_megamenu	2.0.x:30;2.1.x:83;2.2.x:1361;8.x-1.x:32
admin_toolbar_mediteran	8.x-1.x:262
entity_display_processor	1.0.x:2
aggregator	1.0.x:32;1.1.x:45;2.0.x:4;2.1.x:17;2.2.x:8294;2.x:2
kint	2.0.x:32;2.1.x:73;2.2.x:140;2.3.x:1898;7.x-1.x:54
entityqueue_form_widget	2.0.x:1035;8.x-1.x:105
facets_view_mode_processor	2.0.x:205;8.x-1.x:28
harmony_haven	1.0.x:3
field_formatter_file_size	2.0.x:378;8.x-1.x:915
rest_oai_pmh	2.0.x:129;2.1.x:28;2.2.x:96;2.3.x:557;8.x-1.x:14
select_icons	2.0.x:29;8.x-1.x:46
ip_limiter	1.0.x:57
user_bulk_delete	1.0.x:19
sd_breadcrumb	1.1.x:12
email_octopus	2.0.x:7;8.x-1.x:1
suspect_blocker	1.0.x:3
date_range_formatter	4.0.x:2105;7.x-1.x:226;8.x-3.x:255;9.0.x:37
address_suggestion	1.0.x:241
yamlelement	8.x-1.x:168
eca_group	1.0.x:67
product_gallery	1.1.x:26
flysystem_aliyun_oss	2.0.x:21;8.x-1.x:4
block_title_html_element	1.0.x:19
colordialog	8.x-1.x:1950
breadcrumb_menu	8.x-1.x:227
br_address_field	2.0.x:77;8.x-1.x:1
keepeek	1.0.x:1;1.1.x:25
butler_ai	8.x-1.x:1
paragraphs_field_validator	1.0.x:1
menus_attribute	8.x-1.x:5649
acquia_cms_video	1.5.x:6;1.6.x:1453
layout_builder_additions	1.0.x:669
rules_send_big_email	8.x-1.x:280
csv_field	1.0.x:13;2.0.x:61;3.0.x:3
gcsfs	1.0.x:52
travel_zymphonies_theme	3.0.x:6;8.x-1.x:1
social_auth_account_verification	1.0.x:5
pluginreference	2.0.x:2;3.0.x:352
critique_and_review	1.0.x:2;1.1.x:4
blank_node_title	8.x-1.x:3
webform_no_submissions	1.0.x:1
cancel_button	8.x-1.x:2352
oauth_login_oauth2	3.0.x:211;3.1.x:129;7.x-1.x:20;8.x-1.x:13;8.x-2.x:46
auto_block_translate	1.0.x:12;2.0.x:28
encrypt_rsa	2.0.x:9;8.x-1.x:7
activity_emails	8.x-1.x:4
image_resize_filter	6.x-1.x:245;7.x-1.x:10230;8.x-1.x:1523
feeds_tamper_server_files	1.0.x:13
ckeditor_emoji	1.0.x:52;2.0.x:868
ebt_tiles	1.4.x:92
regex_field_validator	1.0.x:34
hal_publications	3.0.x:2;3.1.x:1;4.0.x:11;7.x-4.x:2
advanced_content_blocks	1.0.x:1
ckeditor_readmore	2.0.x:133;3.0.x:330;7.x-2.x:4;8.x-1.x:2
syncloud	8.x-2.x:26
confirm_logout	1.0.x:5
acquia_cms_toolbar	1.4.x:20;1.5.x:1724
dfp	2.0.x:285;3.0.x:413;7.x-1.x:175;7.x-2.x:3;8.x-1.x:80
responsivewrappers	2.0.x:155;7.x-1.x:96;8.x-1.x:14
taxonomy_overview	1.2.x:24;2.1.x:49
ai_provider_openai_compatible	1.2.x:16
aws_bedrock_chat	2.0.x:14
autoshortqr	4.0.x:1;4.1.x:8
association	1.0.x:1;2.0.x:4
computed_field	3.0.x:5149;4.0.x:1486;5.x-1.x:12;6.x-1.x:387;7.x-1.x:9081;8.x-1.x:14;8.x-2.x:610
component_fields	1.0.x:10
elasticsearch_helper_content	8.0.x:4
microwave	1.0.x:4
cdt	1.0.x:1
menu_firstchild	2.0.x:175;2.1.x:568;2.2.x:1457;6.x-1.x:93;7.x-1.x:3721;8.x-1.x:93
entity_diff_ui	1.0.x:678;2.0.x:133
views_negate	2.0.x:35;7.x-1.x:39;8.x-1.x:21
sitemap	8.x-1.x:4260;8.x-2.x:41820
entity_form_field_label	2.0.x:62;2.1.x:544;8.x-1.x:120
vbo_workflow_transition	1.0.x:138
session_inspector	1.0.x:69
immoweb_api_client	1.0.x:1
menu_link_config	8.x-1.x:251
pf_onesignal	2.1.x:7;2.3.x:12
node_by_email	3.0.x:4;3.1.x:11;4.0.x:1;8.x-2.x:7
rh_profile	1.0.x:1
views_base_url	2.0.x:270;2.1.x:2337;3.0.x:53;3.x:77;7.x-1.x:2625;8.x-1.x:296
pmfs	1.0.x:9;2.0.x:179
table_of_contents	2.0.x:451;2.1.x:56;7.x-1.x:50;8.x-1.x:7
vgwort	2.0.x:1;2.1.x:4;3.0.x:40
delete_book	1.0.x:9
search_api_attachments	10.0.x:7044;7.x-1.x:1537;8.x-1.x:1280;9.0.x:4184
taxonomy_access_fix	4.0.x:8533;7.x-1.x:67;7.x-2.x:3009;8.x-2.x:319;8.x-3.x:718
webform_quiz_elements	1.0.x:237
field_label_long_text	1.0.x:54
webform_digests	2.0.x:36;8.x-1.x:115
stepbystep	2.0.x:16
simple_entity_merge	8.x-1.x:214
inline_style_aggregation	1.0.x:2
colorapi	2.0.x:93;2.1.x:327;8.x-1.x:1738
scss	2.0.x:36;2.1.x:133;7.x-1.x:35;8.x-1.x:246
homebox	2.0.x:14;3.0.x:13;6.x-1.x:1;6.x-2.x:1;6.x-3.x:10;7.x-2.x:1849;7.x-3.x:5;8.x-1.x:1
dawn	2.0.x:6;7.x-1.x:15;8.x-1.x:4
auth_encrypt	1.0.x:5
schemadotorg_commerce	1.0.x:3
entity_usage_views_field	2.0.x:2;2.2.x:25;3.0.x:1840
prevent_user_delete_reassign	1.0.x:176
responsive_image_field	1.0.x:2;1.1.x:70
disable_language	8.x-1.x:7536
slick_entityreference	3.0.x:4872;7.x-1.x:62;8.x-1.x:89;8.x-2.x:2206
x_frame_options	8.x-1.x:2758
entity_limit	3.0.x:227;8.x-2.x:80
vipps_mobilepay_commerce	1.0.x:8
block_scheduler	2.0.x:605;8.x-1.x:33
media_entity_twitter_pull	1.0.x:179
really_simple_google_tag	1.0.x:38
localgov_multilingual	1.3.x:30
ckeditor_remove_div	2.0.x:11
social_kpi_lite	2.0.x:3;4.1.x:9;8.x-1.x:5
membership	2.0.x:5;6.x-1.x:4;8.x-1.x:4
calendar_link	2.0.x:26;2.1.x:178;3.0.x:5168;8.x-1.x:4
clipboardjs	2.0.x:1995;2.1.x:387;7.x-1.x:61;8.x-1.x:8
vvja	1.0.x:186
entity_preprocess_services	2.0.x:2;3.0.x:90;8.x-1.x:6
openai_batch	1.0.x:10
commerce_shipping_stepped_by_item	2.0.x:7
murmurations	1.0.x:3
style_guide	1.0.x:1
eck	2.0.x:2107;2.1.x:3622;7.x-2.x:3338;7.x-3.x:4;8.x-1.x:881
saml_rules	2.0.x:18;8.x-1.x:1
sms_fast2sms	8.x-1.x:4
admin_role_ui	1.0.x:2
revision_cleanup	1.0.x:155
delete_orphaned_non_reusable_blocks	1.0.x:121
views_rss	6.x-1.x:38;6.x-2.x:129;7.x-1.x:5;7.x-2.x:2423;8.x-2.x:4315
localgov_services	2.2.x:388
acquia_analytics_redirects	2.0.x:116;8.x-1.x:156
views_raw_sql	2.0.x:64;6.x-1.x:1;7.x-1.x:310;8.x-1.x:115
encrypted_login	1.1.x:20
menu_per_role	5.x-1.x:7;6.x-1.x:386;7.x-1.x:3230;8.x-1.x:9692
role_test_accounts	8.x-1.x:71
media_embed_container	1.0.x:9
view_modes_formatter_settings	1.0.x:1
email_attachment	8.x-1.x:1036
contentimport	10.0.x:760;8.x-3.x:22;8.x-4.x:426;8.x-9.x:654
node_singles	3.2.x:1;3.3.x:3;3.4.x:58
entity_display_mode	2.0.x:36
clinic_zymphonies_theme	2.0.x:21;3.0.x:5;4.0.x:14;8.x-1.x:8
optional_end_month_year_range	8.x-1.x:11
file_entity	7.x-2.x:45615;7.x-3.x:2296;8.x-2.x:8579
field_hidden	2.0.x:180;2.1.x:1649;7.x-1.x:1589;8.x-1.x:113
php_password	2.0.x:6;3.0.x:36;8.x-1.x:20
entity_token_block	1.0.x:23
commerce_price_history	2.0.x:8;7.x-1.x:1
mercury_editor_page_templates	1.0.x:7
disable_html5_validation	2.0.x:2777;8.x-1.x:310
language_hierarchy	2.0.x:1017;7.x-1.x:34;8.x-1.x:4
ui_patterns_extends	1.0.x:474
editor_button_link	2.0.x:299;8.x-1.x:91
time_clock	2.0.x:57
ckeditor_media_edit	1.0.x:22
icecast	7.x-1.x:5;8.x-1.x:3
patchinfo	7.x-1.x:112;8.x-1.x:1;8.x-2.x:223
apple_pay_verification	1.0.x:10;1.1.x:36
livre	1.0.x:4
mailchimp_transactional	1.0.x:56;1.1.x:984;1.2.x:1234
chunker	2.0.x:64;7.x-1.x:2
views_search_snippet	2.0.x:4;2.1.x:51;8.x-1.x:4
comfyui	1.0.x:6
email_registration	2.0.x:7276;2.x:1;6.x-1.x:138;7.x-1.x:5974;8.x-1.x:12137
message_ui	7.x-1.x:127;8.x-1.x:1324
y_program_subcategory	1.0.x:17;1.2.x:26;2.0.x:30
lightgallery_formatter	1.0.x:18
readonly_field_widget	2.1.x:3698;8.x-1.x:1152
views_ef_fieldset	7.x-1.x:244;7.x-2.x:24;8.x-1.x:1406
be_ixf_drupal	8.x-5.x:133
brightcove	3.1.x:34;3.2.x:237;3.3.x:483;6.x-2.x:3;7.x-3.x:4;7.x-5.x:1;7.x-6.x:32;8.x-1.x:14;8.x-2.x:6
ept_micromodal	1.4.x:108
pagedesigner	2.0.x:1;4.1.x:3;4.2.x:75
logger_db	1.0.x:50
transliterate_existing_files	1.0.x:19
openapi_rest	8.x-2.x:4631
entity_reference_validators	2.0.x:1703;8.x-1.x:195
module_matrix	1.0.x:54
metatag_user_role	8.x-2.x:16
localgov_extra_layouts	1.1.x:3
translatable_menu_link_uri	2.0.x:442;2.1.x:9693;8.x-1.x:227
cacheflush	2.0.x:796;7.x-1.x:47;7.x-2.x:56;7.x-3.x:245;8.x-1.x:345
analyze_ai_content_marketing_audit	1.1.x:7;1.2.x:103
pdf_to_canvas	1.0.x:54
cl_selector_field	2.0.x:5
smartlinker_ai	1.0.x:3
martinus_partner_link_formatter	1.0.x:1
recaptcha_v3	2.0.x:33392;7.x-1.x:2197;8.x-1.x:6854
view_custom_table	2.0.x:4013;7.x-1.x:228;8.x-1.x:182;9.0.x:8
field_states	1.0.x:4;2.0.x:155
jsonapi_menu	1.0.x:5;1.1.x:6
field_create	1.0.x:8
public_key_credential_source	1.0.x:5
css_size_field	1.0.x:3
facets_block	2.0.x:2765;8.x-1.x:639
md_viewer	1.0.x:35;2.0.x:88
ckeditor_breaktag	1.0.x:9;2.0.x:77
multilingual_menu_urls	10.0.x:174;8.x-1.x:378
social_auth_pbs	4.0.x:1;5.0.x:1
tokenlink	1.0.x:1
editor_advanced_image	3.0.x:285;3.1.x:1861;8.x-1.x:102;8.x-2.x:1488
commerce_kickstart_demo_assets	1.0.x:237
services_api_key_auth	3.0.x:117;4.0.x:92;7.x-1.x:670;8.x-1.x:39
date_content	1.0.x:123
warmer_view_mode	1.0.x:36
layout_target_styles	2.0.x:7
migrate_upgrade	4.0.x:8111;8.x-1.x:8;8.x-2.x:8;8.x-3.x:652
yotpo	2.0.x:43
sortableviews	8.x-1.x:1338
config_view	8.x-2.x:5;9.0.x:128
checklist_entity_reference	2.0.x:15;8.x-1.x:1
tele_zymphonies_theme	1.0.x:9
dynamic_selection_tools	1.0.x:4
customerio	1.0.x:3
config_suite	2.0.x:171;8.x-1.x:1
cookie_script	1.0.x:85
formatage_models	4.1.x:39
gathercontent	6.1.x:34;7.x-3.x:3;8.x-3.x:3;8.x-4.x:22;8.x-5.x:8
drush_queue_run_all	1.0.x:3;1.1.x:30
javascript_scripting	1.0.x:4
doc_to_html	7.x-1.x:1;8.x-1.x:2
openintranet_engagement	1.0.x:62
file_attributes	8.x-1.x:8;8.x-2.x:42
date_recur_search_api	1.0.x:18
domain_entity_type	1.0.x:7
user_status_popup	1.0.x:4;2.0.x:2
tagify	1.0.x:21;1.2.x:15078
views_show_more	2.0.x:3294;7.x-1.x:34;7.x-2.x:765;8.x-1.x:410
cron_service	2.0.x:104;8.x-1.x:1
yg_agency	2.0.x:26;8.x-1.x:28
webform_entity_reference_exclude	1.0.x:19
rsvplist	1.0.x:1
decorative_image_widget	1.0.x:4549
og_menu	2.0.x:209;6.x-2.x:13;7.x-2.x:3;7.x-3.x:253;8.x-1.x:7
go_back_history	2.0.x:98;8.x-1.x:41
commerce_nelnet	3.0.x:12
message_associated_entity	1.0.x:1
layout_builder_blocks	1.0.x:509;1.1.x:5820
config_snapshot	2.0.x:2055;8.x-1.x:612
forgot_username	2.0.x:62;7.x-1.x:19;8.x-1.x:3
inclusive_cards	1.0.x:6;1.1.x:3
created_account_register_message	2.0.x:1
field_group_modal_bootstrap	4.0.x:1;8.x-3.x:10
next_tag_revalidator	1.0.x:1
sdc_component_library	1.0.x:197
exclusive_boolean	1.0.x:48
block_current_date	1.0.x:2
entity_counter	8.x-1.x:1
workflows_field	2.0.x:34;2.1.x:243;8.x-1.x:6
node_form_overrides	1.0.x:61;1.1.x:17
prometheusio_exporter	2.0.x:28
advanced_sanitize	1.2.x:20
entity_dialog_formatter	8.x-1.x:50
tmgmt_capita	8.x-1.x:34
openfed_social	7.x-1.x:2;8.x-1.x:7
services_token	2.1.x:5;7.x-1.x:82
disable_user_1_edit	8.x-1.x:982
search_api_date_boost	1.0.x:21
request_logger	2.0.x:9;3.0.x:7
farm_eggs	2.2.x:1;3.0.x:11
potx	5.x-1.x:1;6.x-3.x:169;7.x-1.x:348;7.x-3.x:1608;8.x-1.x:2251
charts_echarts	1.0.x:29
yayb	1.1.x:8;7.x-1.x:4
views_svg_animation	1.0.x:7
reporter	8.x-1.x:1;8.x-3.x:4
one_time_login_link_admin	1.0.x:256
toolbar_edit_button	8.x-1.x:69
er_auto	2.1.x:4;8.x-1.x:12
commerce_epaybg	7.x-2.x:24;8.x-1.x:13
comment_revisionref	8.x-1.x:1
uuid_extra	2.0.x:951
better_field_descriptions	2.0.x:164;7.x-1.x:75;8.x-1.x:46
demo_design_system	1.0.x:21
parent_link_search	1.0.x:5
dynamic_yield	1.0.x:3
jsonapi_locale_info	1.0.x:2
jsonapi_frontend_webform	1.0.x:1
security_review	2.0.x:1184;3.0.x:191;3.1.x:8250;6.x-1.x:114;7.x-1.x:6971;8.x-1.x:662
entity_reference_exposed_filters	2.0.x:2017;8.x-1.x:453
vapn	2.0.x:701;3.0.x:664;8.x-1.x:286
